Date,fighter1,fighter1_result,method_or_round,fighter2,Venue,Undercard fights,link
"Sunday, 27 April 2025",Marlon Tapales,Winner,"RTD, Round 3",Jon Jon Jet,"General Santos City, Cotabato del Sur, Philippines",NaN,https://box.live/fights/tapales-vs-jet/
"Saturday, 26 April 2025",Chris Eubank Jr,Winner,"UD, Round 12",Conor Benn,"Tottenham Hotspur Stadium, London, United Kingdom","Anthony Yarde Beat  Lyndon Arthur (UD 12) 
Aaron McKenna Beat  Liam Smith (UD 12) 
Viddal Riley Beat  Cheavon Clarke (UD 12) 
Chris Billam Smith Beat  Brandon Glanton (UD 12)",https://box.live/fights/eubank-jr-vs-benn/
"Sunday, 20 April 2025",Ben Whittaker,Winner,"TKO, Round 2",Liam Cameron,"Resorts World Arena, Birmingham, United Kingdom","Sam Eggington Beat  Lee Cutler (TD 9) 
Frazer Clarke Beat  Ebenezer Tetteh (TKO 1) 
Tyler Denny Beat  Elvis Ahorgah (PTS 10)",https://box.live/fights/whittaker-vs-cameron-ii/
"Saturday, 19 April 2025",Dalton Smith,Winner,"UD, Round 12",Mathieu Germain,"Park Community Arena, Sheffield, United Kingdom","Caoimhin Agyarko Beat  Ryan Kelly (MD 10) 
Josh Warrington Beat  Asad Khan (UD 10) 
Josh Padley Beat  Marko Cvetanovic (TKO 5) 
Joe Howarth Beat  Mario Portillo (UD 6) 
Leli Buttigieg Beat  Grant Dennis (KO 5) 
Giorgio Visioli Beat  Kane Baker (TKO 4)",https://box.live/fights/smith-vs-germain/
"Saturday, 19 April 2025",Gabriela Fundora,Winner,"TKO, Round 7",Marilyn Badillo Amaya,"Frontwave Arena, Oceanside, CA, United States","Jorge Perez Beat  Charles Conwell (SD 12) 
Oleksandr Gvozdyk Beat  Anthony Hollaway (KO 3)",https://box.live/fights/fundora-vs-amaya/
"Saturday, 19 April 2025",Sadriddin Akhmedov,Draw,"MD, Round 10",Elias Espadas,"Commerce Casino, Commerce, CA, United States",NaN,https://box.live/fights/akhmedov-vs-espadas/
"Friday, 18 April 2025",Sergey Kovalev,Winner,"KO, Round 7",Artur Mann,"Yunost Arena, Chelyabinsk, Russian Federation",NaN,https://box.live/fights/kovalev-vs-mann/
"Friday, 18 April 2025",Kevin Hayler Brown,Winner,"UD, Round 10",Esteuri Metiver Suero,"Caribe Royale Orlando, Orlando, FL, United States","Lenier Pero Beat  Detrailous Webster (UD 10) 
Gurgen Hovhannisyan Beat  Dajuan Calloway (KO 5)",https://box.live/fights/brown-vs-suero/
"Thursday, 17 April 2025",Holy Dorgbetor,Winner,"SD, Round 6",Oleksandr Solomennikov,"Global Theater Boulevard Riyadh City, Riyadh, Saudi Arabia",NaN,https://box.live/fights/dorgbetor-vs-solomennikov/
"Saturday, 12 April 2025",Jaron ‘Boots’ Ennis,Winner,"RTD, Round 6",Eimantas Stanionis,"Boardwalk Hall, Atlantic City, NJ, United States","Raymond Ford Beat  Thomas Mattice (UD 10) 
Shakhram Giyasov Beat  Franco Ocampo (KO 4) 
Arturo Popoca Beat  Edgar Cortes (TKO 8) 
Tahmir Smalls Beat  Earl Bascome (KO 1) 
Zaquin Moses Beat  Alex Pallette (KO 2) 
Francisco Rodriguez Beat  Naheem Parker (TKO 3)",https://box.live/fights/ennis-vs-stanionis/
"Saturday, 12 April 2025",Jordan White,Winner,"UD, Round 10",Jose Matias,"Maryland Live Casino, Hanover, MD, United States",NaN,https://box.live/fights/white-vs-romero/
"Friday, 11 April 2025",Julio Cesar La Cruz,Winner,"TKO, Round 3",Dilan Prasovic,"Hotel Melia International, Varadero, Cuba","Erislandy Alvarez Beat  Brainer Soli (KO 1) 
Moussa Gholam Beat  Misael Vasquez (TKO 3) 
Arlen Lopez Beat  Martin Bulacio (UD 10) 
Lazaro Alvarez Beat  Miguel Santos (TKO 7)",https://box.live/fights/cruz-vs-prasovic/
